trigger,target_id,name,ra,dec,pos_err_arcsec,enhanced,z_limit,has_position,curve_url
1444088,01444088,GRB260127A,15 27 31.11,+06 45 45.4,1.9,Yes,3.6,True,https://www.swift.ac.uk/xrt_curves/01444088/
1442454,01442454,GRB260120B,18 58 38.42,+61 54 18.1,3.6,No,2.9,True,https://www.swift.ac.uk/xrt_curves/01442454/
1442421,01442421,BAT_Trigger_1442421,14 01 07.28,-64 13 12.5,5.5,No,2.0,True,https://www.swift.ac.uk/xrt_curves/01442421/
1440319,01440319,GRB260114A,04 58 23.49,-08 00 51.9,3.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/01440319/
1439093,01439093,GRB260113A,,,,,,False,https://www.swift.ac.uk/xrt_curves/01439093/
1436759,01436759,BAT_Trigger_1436759,,,,,,False,https://www.swift.ac.uk/xrt_curves/01436759/
1434591,01434591,GRB260109C,,,,,,False,https://www.swift.ac.uk/xrt_curves/01434591/
1430212,01430212,GRB260104A,22 29 35.77,-21 17 43.2,2.1,Yes,2.8,True,https://www.swift.ac.uk/xrt_curves/01430212/
1429608,01429608,GRB260101A,05 45 42.76,+63 35 31.2,1.9,Yes,3.0,True,https://www.swift.ac.uk/xrt_curves/01429608/
1429020,01429020,GRB251230A,11 59 35.47,+11 26 17.8,1.9,Yes,2.5,True,https://www.swift.ac.uk/xrt_curves/01429020/
1426088,01426088,GRB251221A,06 45 42.66,+00 43 56.1,1.9,Yes,2.6,True,https://www.swift.ac.uk/xrt_curves/01426088/
1423875,01423875,GRB251214B,22 00 50.53,-09 09 47.7,1.9,Yes,2.7,True,https://www.swift.ac.uk/xrt_curves/01423875/
1420873,01420873,GRB251205A,13 21 05.39,+29 55 47.8,3.9,No,4.6,True,https://www.swift.ac.uk/xrt_curves/01420873/
1418729,01418729,GRB251201B,00 25 34.75,-44 14 01.2,2.1,Yes,2.4,True,https://www.swift.ac.uk/xrt_curves/01418729/
1418333,01418333,BAT_Trigger_1418333,,,,,,False,https://www.swift.ac.uk/xrt_curves/01418333/
1417793,01417793,GRB251126A,06 39 46.35,+54 59 09.1,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/01417793/
1413695,01413695,GRB251112A,,,,,,False,https://www.swift.ac.uk/xrt_curves/01413695/
1409824,01409824,GRB251103B,07 03 29.68,-24 52 17.8,2.0,Yes,3.0,True,https://www.swift.ac.uk/xrt_curves/01409824/
1406589,01406589,GRB251024A,20 26 23.38,-68 34 20.1,1.9,Yes,4.5,True,https://www.swift.ac.uk/xrt_curves/01406589/
1405083,01405083,GRB251018A,18 48 10.91,-37 01 39.8,5.1,No,,True,https://www.swift.ac.uk/xrt_curves/01405083/
1404904,01404904,GRB251017A,22 21 36.29,+07 02 24.3,1.9,Yes,2.0,True,https://www.swift.ac.uk/xrt_curves/01404904/
1404295,01404295,GRB251015A,,,,,,False,https://www.swift.ac.uk/xrt_curves/01404295/
1403191,01403191,GRB251011A,00 52 56.46,-62 01 57.7,3.8,No,3.9,True,https://www.swift.ac.uk/xrt_curves/01403191/
1402467,01402467,GRB251007B,06 48 31.76,-10 18 11.8,3.7,No,,True,https://www.swift.ac.uk/xrt_curves/01402467/
1401726,01401726,GRB251005A,05 02 44.02,+16 52 49.3,2.0,Yes,2.6,True,https://www.swift.ac.uk/xrt_curves/01401726/
1400964,01400964,GRB251003A,01 14 06.81,+56 29 26.9,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/01400964/
1400467,01400467,GRB251001A,02 50 36.24,-23 01 12.5,1.9,Yes,,True,https://www.swift.ac.uk/xrt_curves/01400467/
1351790,01351790,GRB250924A,03 27 29.40,+74 39 33.8,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/01351790/
1350381,01350381,GRB250917B,,,,,,False,https://www.swift.ac.uk/xrt_curves/01350381/
1348587,01348587,GRB250911A,17 35 00.24,-16 51 16.1,3.7,No,4.1,True,https://www.swift.ac.uk/xrt_curves/01348587/
1347265,01347265,GRB250905A,15 32 01.51,+00 47 38.2,3.4,Yes,,True,https://www.swift.ac.uk/xrt_curves/01347265/
1347179,01347179,GRB250904A,05 37 31.27,+03 35 04.8,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/01347179/
1344586,01344586,GRB250823A,19 49 54.71,-24 59 45.0,2.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/01344586/
1344131,01344131,GRB250821A,23 53 45.73,-28 39 13.3,2.9,Yes,,True,https://www.swift.ac.uk/xrt_curves/01344131/
1343270,01343270,GRB250818A,,,,,,False,https://www.swift.ac.uk/xrt_curves/01343270/
1342439,01342439,GRB250814A,20 25 13.90,+48 23 56.5,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/01342439/
1340954,01340954,GRB250809A,15 32 00.10,-53 17 46.5,3.0,Yes,,True,https://www.swift.ac.uk/xrt_curves/01340954/
1340514,01340514,GRB250807A,03 25 47.28,-47 53 12.3,3.5,No,4.4,True,https://www.swift.ac.uk/xrt_curves/01340514/
1339848,01339848,GRB250805A,01 36 48.57,-81 24 05.5,3.7,No,3.2,True,https://www.swift.ac.uk/xrt_curves/01339848/
1336720,01336720,GRB250725A,02 21 54.74,-82 47 27.2,3.5,No,3.6,True,https://www.swift.ac.uk/xrt_curves/01336720/
